day,page,word,x,y
1,18,progress,56.1,162.2
1,18,propose,56.1,284.4
1,18,produce,56.1,422.2
1,18,protect,56.1,615.4
1,19,purchase,86.3,56.6
1,19,predict,86.3,316.6
1,19,precaution,86.3,430.3
1,19,premature,86.3,544.1
1,20,preview,56.1,45.5
1,20,forehead,56.1,299.1
1,20,forefather,56.1,401.8
1,20,foremost,56.1,504.6
1,20,foresee,56.1,607.3
1,21,postpone,86.3,109.7
1,21,postwar,86.3,399.9
1,21,income,86.3,552.6
1,22,intake,56.1,45.5
1,22,infection,56.1,159.3
1,22,insight,56.1,327.3
1,22,inherent,56.1,430.0
1,22,investment,56.1,546.1
1,23,investigate,86.3,56.4
1,23,illustrate,86.3,207.2
2,24,outcome,56.1,162.2
2,24,outline,56.1,431.5
2,24,outlook,56.1,534.2
2,25,outstanding,86.3,56.6
2,25,outlet,86.3,174.7
2,25,utter,86.3,276.0
2,25,utmost,86.3,448.1
2,26,overcome,56.1,109.5
2,26,overlook,56.1,238.3
2,26,overseas,56.1,359.1
2,26,overhead,56.1,461.8
2,26,overtake,56.1,564.5
2,27,overwhelm,86.3,56.6
2,27,overlap,86.3,202.9
2,27,overflow,86.3,316.7
2,27,extracurricular,86.3,583.6
2,28,extraterrestrial,56.1,45.5
2,28,extraordinary,56.1,187.7
2,28,extrovert,56.1,305.8
2,28,external,56.1,419.5
2,28,misfortune,56.1,579.0
2,29,mislead,86.3,56.6
2,29,misbehave,86.3,188.7
3,30,recall,56.1,162.2
3,30,record,56.1,271.3
3,30,recover,56.1,393.4
3,30,recycle,56.1,514.1
3,30,research,56.1,623.2
3,31,replace,86.3,56.6
3,31,reproduce,86.3,194.4
3,31,revive,86.3,334.0
3,31,remove,86.3,481.5
3,31,retire,86.3,604.3
3,32,remain,56.1,56.6
3,32,represent,56.1,364.4
3,33,international,86.3,109.5
3,33,interpret,86.3,238.7
3,33,interfere,86.3,407.6
3,33,interaction,86.3,521.4
3,34,dialogue,56.1,208.3
3,34,dialect,56.1,311.0
3,34,diameter,56.1,425.0
3,34,transfer,56.1,575.8
3,35,transform,86.3,56.6
3,35,translate,86.3,170.3
3,35,transplant,86.3,278.5
4,36,depress,56.1,151.2
4,36,despise,56.1,284.1
4,36,depart,56.1,397.8
4,36,derive,56.1,564.0
4,37,detect,86.3,56.6
4,37,detach,86.3,185.7
4,37,develop,86.3,299.4
4,37,declare,86.3,450.9
4,37,debate,86.3,577.7
4,38,demonstrate,56.1,56.6
4,38,depict,56.1,199.7
4,38,undergraduate,56.1,356.0
4,38,undergo,56.1,485.2
4,38,undertake,56.1,612.0
4,39,underlie,86.3,45.5
4,39,exhale,86.3,200.1
4,39,expand,86.3,313.9
4,39,explicit,86.3,436.7
4,39,explain,86.3,550.5
4,40,expose,56.1,56.6
4,40,exaggerate,56.1,193.6
4,40,exchange,56.1,335.7
4,40,exhaust,56.1,451.3
4,40,evaporation,56.1,591.4
5,42,uneasy,56.1,151.2
5,42,unfair,56.1,327.1
5,42,unfortunate,56.1,421.7
5,42,unlikely,56.1,531.7
5,42,unusual,56.1,626.4
5,43,unlock,86.3,45.5
5,43,disagree,86.3,198.2
5,43,disappear,86.3,338.7
5,44,disorder,56.1,56.6
5,44,discount,56.1,179.4
5,44,discourage,56.1,354.4
5,44,dismiss,56.1,490.9
5,45,dispose,86.3,58.6
5,45,display,86.3,271.3
5,45,differ,86.3,397.6
5,46,independent,56.1,109.5
5,46,inevitable,56.1,260.2
5,46,inexpensive,56.1,362.9
5,46,illegal,56.1,596.5
5,47,immoral,86.3,56.6
5,47,immune,86.3,170.3
5,47,irrelevant,86.3,303.2
6,49,superior,86.3,162.2
6,49,superb,86.3,310.3
6,49,superficial,86.3,413.0
6,49,sovereign,86.3,542.7
6,50,surface,56.1,56.6
6,50,uphold,56.1,282.8
6,50,upright,56.1,393.8
6,50,upset,56.1,505.6
6,50,upside,56.1,629.7
6,51,submarine,86.3,192.8
6,51,suffer,86.3,317.2
6,51,suggest,86.3,435.3
6,51,support,86.3,581.0
6,52,suppress,56.1,56.6
6,52,antibiotic,56.1,345.9
6,52,antibody,56.1,477.0
6,52,antarctic,56.1,579.7
6,53,anticipate,86.3,109.5
6,53,antique,86.3,225.6
6,53,advantage,86.3,339.4
6,53,ancestor,86.3,497.3
6,53,ancient,86.3,611.1
6,54,advance,56.1,56.6
7,55,combine,86.3,162.2
7,55,company,86.3,318.6
7,55,compile,86.3,447.3
7,55,compose,86.3,561.1
7,56,compromise,56.1,45.5
7,56,complain,56.1,174.7
7,56,conform,56.1,314.3
