day,page,root,type,x,y
1,18,pro-,prefix_or_root,76.3,109.6
1,19,pre-,prefix_or_root,104.8,259.4
1,20,fore-,prefix_or_root,76.3,253.0
1,21,post-,prefix_or_root,104.8,52.5
1,21,in-,prefix_or_root,104.8,495.3
2,24,out-,prefix_or_root,76.3,109.6
2,26,over-,prefix_or_root,76.3,52.3
2,27,extra-,prefix_or_root,104.8,537.4
2,28,mis-,prefix_or_root,76.3,532.8
3,30,re-,prefix_or_root,76.3,109.6
3,33,inter-,prefix_or_root,104.8,52.3
3,34,dia-,prefix_or_root,76.3,162.1
3,34,trans-,prefix_or_root,76.3,518.6
4,36,de-,prefix_or_root,76.3,109.6
4,38,under-,prefix_or_root,76.3,309.9
4,39,ex-,prefix_or_root,104.8,154.0
5,42,un-,prefix_or_root,76.3,109.6
5,43,dis-,prefix_or_root,104.8,141.0
5,46,in-,prefix_or_root,76.3,52.3
6,49,super-,prefix_or_root,104.8,109.6
6,50,up-,prefix_or_root,76.3,236.6
6,51,sub-,prefix_or_root,104.8,146.6
6,52,anti-,prefix_or_root,76.3,288.6
6,53,ante-,prefix_or_root,104.8,52.3
7,55,com-,prefix_or_root,104.8,109.6
7,57,sym-,prefix_or_root,104.8,549.5
7,58,multi-,prefix_or_root,76.3,139.1
7,59,ab-,prefix_or_root,104.8,52.3
8,60,en-,prefix_or_root,76.3,109.6
8,62,tele-,prefix_or_root,76.3,156.1
8,62,auto-,prefix_or_root,76.3,295.8
8,63,per-,prefix_or_root,104.8,261.7
8,64,se-,prefix_or_root,76.3,495.0
9,67,ad-,prefix_or_root,104.8,109.6
9,69,a-,prefix_or_root,104.8,364.4
9,71,with-,prefix_or_root,104.8,189.5
9,72,geo-,prefix_or_root,76.3,52.3
10,73,contra-,prefix_or_root,104.8,109.6
10,74,mono-uni-,prefix_or_root,76.3,314.4
10,75,bi- du-twi-,prefix_or_root,104.8,530.5
10,77,tri-,prefix_or_root,104.8,52.3
11,82,-er,suffix,56.1,164.0
11,82,-ee,suffix,56.1,182.9
11,82,-or,suffix,56.1,201.8
11,82,-ant,suffix,56.1,559.7
11,82,-ent,suffix,56.1,578.6
11,83,-ist,suffix,86.3,381.6
11,83,-ive,suffix,86.3,577.6
11,84,-ary,suffix,56.1,164.1
11,84,-ic(s),suffix,56.1,418.4
11,85,-ance,suffix,86.3,48.6
11,85,-ence,suffix,86.3,67.5
11,85,-(e)ty,suffix,86.3,260.0
11,85,-ity,suffix,86.3,278.9
11,85,-y,suffix,86.3,599.2
11,85,-ry,suffix,86.3,618.1
11,86,-al,suffix,56.1,252.7
11,86,-ure,suffix,56.1,422.3
11,86,-ment,suffix,56.1,603.4
11,87,-ion,suffix,86.3,279.2
11,88,-th,suffix,56.1,48.6
11,88,-t,suffix,56.1,67.5
11,88,-ness,suffix,56.1,284.2
11,88,-(a)cy,suffix,56.1,508.5
11,89,-ship,suffix,86.3,48.6
11,89,-hood,suffix,86.3,237.8
11,89,-ism,suffix,86.3,427.1
11,90,-(l)et,suffix,56.1,48.6
11,90,-ette,suffix,56.1,67.5
11,90,-le,suffix,56.1,376.3
11,90,-el,suffix,56.1,395.2
12,91,-ish,suffix,86.3,188.0
12,91,-like,suffix,86.3,220.4
12,91,-able,suffix,86.3,320.4
12,91,-ative,suffix,86.3,379.3
12,91,-able,suffix,86.3,505.8
12,91,-ate,suffix,86.3,567.0
12,92,-al,suffix,56.1,72.6
12,92,-ous,suffix,56.1,146.6
12,92,-ic,suffix,56.1,278.1
12,92,-ical,suffix,56.1,343.6
12,92,-ic,suffix,56.1,470.1
12,92,-ical,suffix,56.1,509.2
12,93,-ual,suffix,86.3,72.6
12,93,-ent,suffix,86.3,131.5
12,93,-able,suffix,86.3,263.0
12,93,-ful,suffix,86.3,310.8
12,93,-ible,suffix,86.3,437.2
12,93,-tive,suffix,86.3,480.7
12,93,-al,suffix,86.3,591.8
12,93,-able,suffix,86.3,635.3
12,94,-ful,suffix,56.1,83.3
12,94,-ive,suffix,56.1,131.5
12,94,-al,suffix,56.1,257.9
12,94,-ary,suffix,56.1,293.9
12,94,-ate,suffix,56.1,361.4
12,94,-able,suffix,56.1,478.1
12,94,-ative,suffix,56.1,528.3
12,94,-ary,suffix,56.1,600.1
12,95,-ful,suffix,86.3,72.6
12,95,-able,suffix,86.3,116.1
12,95,-al,suffix,86.3,242.1
12,95,-ous,suffix,86.3,275.0
12,95,-able,suffix,86.3,404.1
12,95,-ible,suffix,86.3,423.0
12,96,-ful,suffix,56.1,48.6
12,96,-ic,suffix,56.1,319.1
12,96,-ical,suffix,56.1,338.0
12,97,-ar(y),suffix,86.3,48.6
12,97,-ory,suffix,86.3,67.5
13,98,-ly,suffix,56.1,164.0
13,98,-ous,suffix,56.1,344.3
13,98,-ate,suffix,56.1,513.8
13,99,-ant,suffix,86.3,48.6
13,99,-ent,suffix,86.3,67.5
13,99,-ish,suffix,86.3,358.1
13,100,-al,suffix,56.1,48.6
13,100,-ial,suffix,56.1,67.5
13,100,-ual,suffix,56.1,86.4
13,101,-ive,suffix,86.3,48.6
13,101,-ative,suffix,86.3,67.5
13,101,-y,suffix,86.3,255.6
13,101,-less,suffix,86.3,418.9
13,102,-ize,suffix,56.1,100.9
13,102,-ate,suffix,56.1,273.5
13,103,-(i)fy,suffix,86.3,257.2
13,103,-en,suffix,86.3,480.3
13,104,-le,suffix,56.1,48.6
13,104,-ly,suffix,56.1,281.2
13,104,-ward,suffix,56.1,485.7
13,105,-way,suffix,86.3,48.6
13,105,-wise,suffix,86.3,67.5
14,108,ag,prefix_or_root,76.3,106.1
14,109,alt,prefix_or_root,104.8,530.1
14,110,alter,prefix_or_root,76.3,257.2
14,111,ang,prefix_or_root,104.8,446.6
14,112,ann,prefix_or_root,76.3,389.1
14,113,apt,prefix_or_root,104.8,52.3
15,114,aster,prefix_or_root,76.3,370.0
15,114,art,prefix_or_root,76.3,106.1
15,115,audey,prefix_or_root,104.8,476.1
15,116,band,prefix_or_root,76.3,252.2
15,117,bar,prefix_or_root,104.8,237.6
15,118,bio,prefix_or_root,76.3,52.3
16,120,cap,prefix_or_root,76.3,106.1
16,121,cap,prefix_or_root,104.8,52.3
16,124,car,prefix_or_root,76.3,52.3
17,127,cast,prefix_or_root,104.8,106.5
17,128,cause,prefix_or_root,76.3,52.3
17,129,cede,prefix_or_root,104.8,52.3
17,131,centr,prefix_or_root,104.8,409.8
17,132,cern,prefix_or_root,76.3,52.3
17,133,cert,prefix_or_root,104.8,221.4
18,134,cid,prefix_or_root,76.3,347.5
18,134,char,prefix_or_root,76.3,106.1
18,136,cide,prefix_or_root,76.3,156.1
18,137,circul,prefix_or_root,104.8,52.3
18,137,cit,prefix_or_root,104.8,475.4
18,138,civi,prefix_or_root,76.3,198.3
18,139,claim,prefix_or_root,104.8,52.3
19,140,clin,prefix_or_root,76.3,106.1
19,141,clud,prefix_or_root,104.8,178.1
19,142,cogn,prefix_or_root,76.3,248.2
19,143,cord,prefix_or_root,104.8,473.6
19,145,corp,prefix_or_root,104.8,52.3
20,146,crea,prefix_or_root,76.3,106.1
20,147,cred,prefix_or_root,104.8,278.8
20,148,cult,prefix_or_root,76.3,219.0
20,149,cur,prefix_or_root,104.8,157.0
20,151,dam,prefix_or_root,104.8,165.1
21,153,der,prefix_or_root,104.8,542.6
21,153,deb,prefix_or_root,104.8,106.5
21,155,dict,prefix_or_root,104.8,171.2
21,156,dom,prefix_or_root,76.3,534.8
21,157,don,prefix_or_root,104.8,508.5
22,159,duc,prefix_or_root,104.8,110.0
22,160,electr,prefix_or_root,76.3,477.9
22,161,equident,prefix_or_root,104.8,157.0
22,162,ess,prefix_or_root,76.3,215.5
22,163,estim,prefix_or_root,104.8,52.3
22,164,fa,prefix_or_root,76.3,52.3
23,166,fac,prefix_or_root,76.3,106.1
23,170,fals,prefix_or_root,76.3,417.1
23,171,fare,prefix_or_root,104.8,526.2
24,173,fend,prefix_or_root,104.8,106.5
24,174,fer,prefix_or_root,76.3,52.3
24,175,fid,prefix_or_root,104.8,345.4
24,176,fin,prefix_or_root,76.3,152.1
24,177,flect,prefix_or_root,104.8,317.7
24,178,flict,prefix_or_root,76.3,52.3
25,179,flo,prefix_or_root,104.8,106.5
25,180,flu,prefix_or_root,76.3,52.3
25,181,form,prefix_or_root,104.8,167.0
25,182,fort,prefix_or_root,76.3,246.8
25,183,frag,prefix_or_root,104.8,329.5
25,184,fund,prefix_or_root,76.3,52.3
26,186,fus,prefix_or_root,76.3,109.6
26,187,gard,prefix_or_root,104.8,48.7
26,188,gener,prefix_or_root,76.3,52.3
26,191,gest,prefix_or_root,104.8,52.3
26,191,gra,prefix_or_root,104.8,488.5
27,193,grad,prefix_or_root,104.8,110.0
27,194,graph,prefix_or_root,76.3,400.4
27,195,grat,prefix_or_root,104.8,52.3
27,196,grav,prefix_or_root,76.3,197.7
27,196,hab,prefix_or_root,76.3,494.0
27,198,hered,prefix_or_root,76.3,342.8
28,200,hum,prefix_or_root,76.3,529.3
28,200,host,prefix_or_root,76.3,106.1
28,201,insul,prefix_or_root,104.8,363.3
28,202,it,prefix_or_root,76.3,52.3
28,203,ject,prefix_or_root,104.8,219.1
28,205,jus,prefix_or_root,104.8,160.5
29,207,labor,prefix_or_root,104.8,106.5
29,208,lack,prefix_or_root,76.3,52.3
29,208,lat,prefix_or_root,76.3,374.6
29,209,laxly,prefix_or_root,104.8,142.8
29,210,lect,prefix_or_root,76.3,278.9
29,211,lect,prefix_or_root,104.8,471.7
30,213,leg,prefix_or_root,104.8,106.5
30,214,lev,prefix_or_root,76.3,277.0
30,215,liber,prefix_or_root,104.8,52.3
30,216,lig,prefix_or_root,76.3,52.3
30,217,limin,prefix_or_root,104.8,494.7
31,220,loc,prefix_or_root,76.3,520.8
31,220,liter,prefix_or_root,76.3,106.1
31,221,log,prefix_or_root,104.8,284.1
31,222,long,prefix_or_root,76.3,429.9
31,224,lus,prefix_or_root,104.8,52.3
32,225,magni,prefix_or_root,104.8,106.5
32,227,mand,prefix_or_root,104.8,52.3
32,228,manu,prefix_or_root,76.3,326.7
32,229,mechan,prefix_or_root,104.8,532.5
